DEALER_ID,DEALER_NAME,REGION
DEALER_001,Anderson Truck Center,Central
DEALER_002,Morgan Truck Sales,East
DEALER_003,Young Commercial Trucks,North
DEALER_004,Reed Transport Solutions of Houston,Central
DEALER_005,Roberts Truck Sales,South
DEALER_006,Walker Trucking Center of Dallas,South
DEALER_007,Bell Transport Solutions of Boston,South
DEALER_008,Turner Trucking Center,North
DEALER_009,Howard Logistics Sales,West
DEALER_010,Green Heavy Duty Sales,East
DEALER_011,Taylor Truck Sales,East
DEALER_012,Adams Trucking Center,North
DEALER_013,Gomez Fleet Services,West
DEALER_014,Wilson Trucking Center,Central
DEALER_015,Garcia Truck Sales,West
DEALER_016,Baker Trucking Center,North
DEALER_017,Garcia Transport Solutions,East
DEALER_018,Wilson Logistics Sales,North
DEALER_019,Nelson Heavy Duty Sales,East
DEALER_020,White Heavy Duty Sales,East
DEALER_021,Bailey Transport Solutions of Portland,South
DEALER_022,Collins Transport Solutions,West
DEALER_023,Nelson Heavy Duty Sales of Chicago,Central
DEALER_024,Walker Transport Solutions,North
DEALER_025,Walker Logistics Sales,East
DEALER_026,Carter Heavy Duty Sales,Central
DEALER_027,Bell Heavy Duty Sales,West
DEALER_028,Carter Transport Solutions,East
DEALER_029,Moore Commercial Trucks of Dallas,East
DEALER_030,Kelly Trucking Center,Central
DEALER_031,Moore Trucking Center,North
DEALER_032,Thomas Commercial Trucks of Nashville,West
DEALER_033,Cook Truck Sales,Central
DEALER_034,Phillips Trucking Center,Central
DEALER_035,Miller Transport Solutions of Chicago,Central
DEALER_036,Howard Heavy Duty Sales of Atlanta,North
DEALER_037,Lewis Commercial Sales,East
DEALER_038,Lopez Fleet Services,North
DEALER_039,Gomez Transport Solutions,Central
DEALER_040,Howard Commercial Trucks,North
DEALER_041,Morgan Heavy Duty Sales of Dallas,Central
DEALER_042,Clark Commercial Trucks,South
DEALER_043,Collins Logistics Sales of Detroit,Central
DEALER_044,Scott Fleet Services,East
DEALER_045,Hill Commercial Trucks,Central
DEALER_046,Wilson Truck Sales of Charlotte,North
DEALER_047,Howard Trucking Center of Phoenix,West
DEALER_048,Stewart Commercial Trucks,Central
DEALER_049,Roberts Commercial Trucks of Nashville,South
DEALER_050,Cooper Transport Solutions,Central
